,mutual_information,random_forest_importance,mi_rank,rf_rank,combined_rank
411,0.03188903706403501,0.0021717235844246016,1.0,154.0,155.0
14,0.009508708860601844,0.0034617843293626442,104.0,52.0,156.0
539,0.01306280579937602,0.0026932283497904386,69.0,90.0,159.0
488,0.007397276786573537,0.004973413758554955,137.0,23.0,160.0
180,0.007416176460869783,0.004787843778848877,136.0,26.0,162.0
522,0.00822472099938043,0.00362906384567597,121.0,43.0,164.0
78,0.01586032421666994,0.0024104316314174238,47.0,118.0,165.0
308,0.01288796837181816,0.0026201640681783184,71.0,99.0,170.0
63,0.01025625787178086,0.0028706360673821977,98.0,75.0,173.0
15,0.01159529537589532,0.002773570658970716,88.0,86.0,174.0
55,0.008088681039444934,0.003481643260395764,124.0,51.0,175.0
452,0.010622854849379193,0.002737357746494569,95.0,87.0,182.0
182,0.01508623423372013,0.0023101336860615585,55.0,130.0,185.0
547,0.008949009869439806,0.0028892766073064383,113.0,73.0,186.0
417,0.008711433279019909,0.002902908232791873,114.0,72.0,186.0
587,0.009141552165916389,0.002852568123228624,111.0,77.0,188.0
320,0.01636696785260794,0.0022157851358281327,41.0,147.0,188.0
406,0.02473056309898425,0.0020567942973157317,10.0,179.0,189.0
541,0.024409263403014192,0.0020630262686859775,11.0,178.0,189.0
563,0.00729219640550105,0.00345522766181604,138.0,53.0,191.0
128,0.027150250224818206,0.001966526905147212,4.0,191.0,195.0
344,0.013925351277831455,0.002269813530989235,62.0,136.0,198.0
9,0.011837099489474756,0.0024108875708275415,84.0,117.0,201.0
39,0.0055104669894450176,0.003911925516007534,166.0,37.0,203.0
200,0.0044567829504849055,0.0058232512893567345,187.0,17.0,204.0
290,0.008118782919570577,0.0027886600636720404,122.0,83.0,205.0
540,0.015453463660845879,0.002163592659792971,49.0,156.0,205.0
323,0.01139978507871331,0.002369418020735781,90.0,119.0,209.0
333,0.008695422874890335,0.0026867138250453075,117.0,93.0,210.0
455,0.004835088943776711,0.0045878416773798905,181.0,29.0,210.0
273,0.016121914556429973,0.0021008667160364366,44.0,167.0,211.0
339,0.012576019926685333,0.002247955157074429,76.0,138.0,214.0
143,0.012669804877544433,0.002222350420572411,73.0,144.0,217.0
341,0.003271132294462298,0.008782183654739373,210.0,7.0,217.0
37,0.015128920570760984,0.002103501960635747,53.0,165.0,218.0
589,0.019305679505780216,0.0019152722454474531,26.0,200.0,226.0
153,0.01831407536370744,0.001948984622618187,33.0,194.0,227.0
407,0.01187426530504565,0.0021797432951821175,83.0,152.0,235.0
480,0.0055369661740618525,0.0028730821090648642,162.0,74.0,236.0
21,0.0033510263654501493,0.004435096736480383,207.0,31.0,238.0
225,0.012657396908891894,0.0021039420772689275,74.0,164.0,238.0
425,0.007291422764512001,0.002613387821309492,139.0,100.0,239.0
79,0.003812988622841962,0.003765592450539908,199.0,41.0,240.0
31,0.002210538248375693,0.011669164926334076,236.0,4.0,240.0
280,0.0030638995468970087,0.004782677738176351,216.0,27.0,243.0
59,0.0019667913983896224,0.014956995578199928,244.0,2.0,246.0
588,0.025876729443718327,0.001733640736564574,8.0,239.0,247.0
35,0.00897736886886813,0.0022825202350287782,112.0,135.0,247.0
6,0.013126497780182822,0.0020448332886414088,66.0,182.0,248.0
41,0.02614252506562109,0.00171629747961412,7.0,245.0,252.0
27,0.010063440379665778,0.002164962148957891,101.0,155.0,256.0
174,0.020877396697811523,0.0017349638437795275,21.0,238.0,259.0
443,0.020717412885824738,0.0017228365604969504,22.0,241.0,263.0
172,0.016226539855119126,0.001808071160356261,43.0,224.0,267.0
275,0.02376985453068925,0.0016624842586612158,12.0,257.0,269.0
213,0.0013874349540448083,0.006417357349928981,256.0,14.0,270.0
490,0.004536194995310439,0.00277779037332888,186.0,85.0,271.0
274,0.02574694373423858,0.0016226350856441889,9.0,266.0,275.0
366,0.012538936500530173,0.0019251536905056045,77.0,198.0,275.0
160,0.00324200515276174,0.0030929718786389007,211.0,64.0,275.0
40,0.021820753102766766,0.0016460623730992152,17.0,260.0,277.0
351,0.0011502915067989061,0.005813912697483069,264.0,18.0,282.0
415,0.018648207339620138,0.0016792861698539537,30.0,252.0,282.0
57,0.01115810840741549,0.0019564231112906985,93.0,192.0,285.0
570,0.01767440063439074,0.00169416628505971,36.0,250.0,286.0
227,0.004089777681981488,0.0026878305488651443,194.0,92.0,286.0
410,0.0024713002181639965,0.0032016134063711727,230.0,58.0,288.0
310,0.004946185272977743,0.002477954838960121,179.0,110.0,289.0
102,0.0005324341200951821,0.005983192606875426,274.0,16.0,290.0
133,0.01510683499768839,0.0017617073117705702,54.0,236.0,290.0
377,0.004429843220556506,0.002594888649971612,188.0,103.0,291.0
405,0.013121491216871117,0.0018077878385970067,67.0,225.0,292.0
2,0.0226055660520581,0.0015622257782366624,14.0,279.0,293.0
0,0.001392482782015314,0.0038355906390945688,255.0,39.0,294.0
433,0.008272173696310947,0.002069947501076022,120.0,175.0,295.0
205,2.6494589907111177e-05,0.007697806957887606,287.0,9.0,296.0
12,0.0058611828335446425,0.002244829493792324,159.0,140.0,299.0
181,0.006353473313713387,0.002196037403170767,152.0,150.0,302.0
268,0.01789282763134037,0.0016124689900251,35.0,267.0,302.0
239,0.005812655670033973,0.0022316902596267547,160.0,143.0,303.0
127,0.011298098313884841,0.0018578743671012535,91.0,212.0,303.0
